,precision,recall,f1-score,support
Apple___Apple_scab,0.9682539682539683,0.9682539682539683,0.9682539682539683,126.0
Apple___Black_rot,0.984251968503937,1.0,0.9920634920634921,125.0
Apple___Cedar_apple_rust,0.9818181818181818,0.9818181818181818,0.9818181818181818,55.0
Apple___healthy,0.9876160990712074,0.9696048632218845,0.9785276073619632,329.0
Blueberry___healthy,0.9933110367892977,0.9867109634551495,0.99,301.0
Cherry_(including_sour)___Powdery_mildew,0.9858490566037735,0.990521327014218,0.9881796690307328,211.0
Cherry_(including_sour)___healthy,0.9825581395348837,0.9883040935672515,0.9854227405247813,171.0
Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,0.9032258064516129,0.8155339805825242,0.8571428571428571,103.0
Corn_(maize)___Common_rust_,1.0,1.0,1.0,239.0
Corn_(maize)___Northern_Leaf_Blight,0.9077669902912622,0.949238578680203,0.9280397022332506,197.0
Corn_(maize)___healthy,1.0,1.0,1.0,233.0
Grape___Black_rot,0.9585062240663901,0.9788135593220338,0.9685534591194969,236.0
Grape___Esca_(Black_Measles),0.9816849816849816,0.9675090252707581,0.9745454545454545,277.0
Grape___Leaf_blight_(Isariopsis_Leaf_Spot),0.9952830188679245,0.9768518518518519,0.985981308411215,216.0
Grape___healthy,0.9767441860465116,0.9882352941176471,0.9824561403508771,85.0
Orange___Haunglongbing_(Citrus_greening),0.995475113122172,0.9981851179673321,0.9968282736746715,1102.0
Peach___Bacterial_spot,0.993421052631579,0.9847826086956522,0.9890829694323144,460.0
Peach___healthy,0.9466666666666667,0.9861111111111112,0.9659863945578231,72.0
"Pepper,_bell___Bacterial_spot",0.9751243781094527,0.98,0.9775561097256857,200.0
"Pepper,_bell___healthy",0.9829351535836177,0.972972972972973,0.9779286926994907,296.0
Potato___Early_blight,0.9567307692307693,0.995,0.9754901960784313,200.0
Potato___Late_blight,0.955,0.955,0.955,200.0
Potato___healthy,1.0,0.9354838709677419,0.9666666666666667,31.0
Raspberry___healthy,1.0,0.9733333333333334,0.9864864864864865,75.0
Soybean___healthy,0.9797687861271677,0.9990176817288802,0.9892996108949417,1018.0
Squash___Powdery_mildew,0.9972677595628415,0.9945504087193461,0.9959072305593452,367.0
Strawberry___Leaf_scorch,0.9779735682819384,1.0,0.9888641425389755,222.0
Strawberry___healthy,0.9891304347826086,0.9891304347826086,0.9891304347826086,92.0
Tomato___Bacterial_spot,0.9354838709677419,0.9530516431924883,0.9441860465116279,426.0
Tomato___Early_blight,0.7792792792792793,0.865,0.8199052132701422,200.0
Tomato___Late_blight,0.9283819628647215,0.9162303664921466,0.922266139657444,382.0
Tomato___Leaf_Mold,0.9267015706806283,0.9267015706806283,0.9267015706806283,191.0
Tomato___Septoria_leaf_spot,0.9641693811074918,0.8338028169014085,0.8942598187311178,355.0
Tomato___Spider_mites Two-spotted_spider_mite,0.9380530973451328,0.9464285714285714,0.9422222222222222,336.0
Tomato___Target_Spot,0.9416342412451362,0.8612099644128114,0.8996282527881041,281.0
Tomato___Tomato_Yellow_Leaf_Curl_Virus,0.9842154131847726,0.9888059701492538,0.9865053513261982,1072.0
Tomato___Tomato_mosaic_virus,0.96,0.96,0.96,75.0
Tomato___healthy,0.9287833827893175,0.9811912225705329,0.9542682926829268,319.0
accuracy,0.9685546156675249,0.9685546156675249,0.9685546156675249,0.9685546156675249
macro avg,0.9642911984091307,0.9620364566648022,0.9627672288637928,10876.0
weighted avg,0.9689587520150302,0.9685546156675249,0.9684222573696861,10876.0
